id;total_amount;created_date;last_modified_date
1;27934.39;2024-10-17T16:06:56;2024-10-18T08:31:12
2;15444.44;2024-10-17T11:25:26;2024-10-18T04:39:40
3;31011.9;2024-10-17T11:37:50;2024-10-18T00:27:36
4;29430.98;2024-10-18T07:12:48;2024-10-18T05:40:41
5;31993.54;2024-10-17T20:42:39;2024-10-17T13:54:17
6;12379.67;2024-10-17T13:32:27;2024-10-17T14:00:22
7;14472.91;2024-10-18T03:03:28;2024-10-17T13:36:43
8;20982.82;2024-10-18T02:09:49;2024-10-17T11:40:28
9;17972.44;2024-10-17T12:13:14;2024-10-18T01:51:53
10;30867.72;2024-10-17T20:43:56;2024-10-18T01:56:32
