id;quantity;amount;created_date;last_modified_date
1;27336;14573.27;2024-10-17T23:57:12;2024-10-17T17:17:19
2;6813;16163.71;2024-10-17T22:34:27;2024-10-17T14:01:41
3;24703;28299.47;2024-10-18T05:36:18;2024-10-17T11:10:16
4;19111;21156.35;2024-10-17T17:23:20;2024-10-17T14:15:51
5;8981;23611.97;2024-10-17T19:57:37;2024-10-18T08:35:11
6;14192;13905;2024-10-18T06:45:09;2024-10-17T18:00:08
7;6769;5815.07;2024-10-18T04:44:02;2024-10-17T15:10:24
8;13506;25774.36;2024-10-17T14:46:22;2024-10-17T23:14:57
9;16279;27255.21;2024-10-18T03:45:56;2024-10-17T20:18:38
10;13528;14747.73;2024-10-17T10:55:49;2024-10-18T04:42:42
