id;product_name;category;image_url;price;stock;description;created_date;last_modified_date
1;quarrelsomely;formal likewise;or arrogantly;23888.54;19044;not off;2024-10-17T18:00:34;2024-10-17T22:22:38
2;furthermore pale;immaculate;ew comb;29390.39;22075;within;2024-10-17T14:49:50;2024-10-17T12:05:41
3;graceful where bah;whoever unearth;ugh respectful solidly;30174.75;5458;norm ah;2024-10-18T03:54:04;2024-10-17T11:20:36
4;amidst yellow trusting;recommendation when granny;starboard saw among;6312.65;16236;substantial;2024-10-17T09:20:32;2024-10-18T00:47:13
5;rightfully;wherever;difficult quietly urgently;29981.88;11597;serpentine helpfully than;2024-10-17T22:03:17;2024-10-17T09:21:09
6;creamy;yowza skeleton clearly;of;20203.68;11619;grave;2024-10-18T01:52:31;2024-10-18T00:52:02
7;hollow;lest;wherever physically incidentally;4867.7;4681;beside quarrel pinstripe;2024-10-17T11:37:07;2024-10-17T15:25:09
8;since phew;phew educated;following amend;11894.36;9082;grok;2024-10-17T15:21:52;2024-10-18T00:56:20
9;murky best-seller as;whoever;including;32078.56;22251;warmly whoever modulo;2024-10-17T18:08:31;2024-10-18T08:28:23
10;window;querulous accompanist;after;701.94;11649;ownership filter hungrily;2024-10-17T12:13:39;2024-10-18T06:29:42
